"id","city","temperature","humidity","pressure","wind_speed","wind_direction","rain","snow","cloudiness","visibility","description","condition_type","timestamp"
"204","Samarinda","23.02","99","1010","0.14","309","1.05","0","86","10000","moderate rain","rain","2024-11-02 22:09:09"
"205","Samarinda","24.4","97","1011","0.08","319","0.23","0","84","10000","light rain","rain","2024-11-02 23:09:09"
"206","Samarinda","26.42","88","1012","0.42","349","0","0","83","10000","broken clouds","Clouds","2024-11-03 00:09:09"
"207","Samarinda","29","75","1012","0.48","356","0.43","0","62","10000","light rain","rain","2024-11-03 01:09:09"
"208","Samarinda","31.35","62","1012","0.78","19","0.27","0","60","10000","light rain","rain","2024-11-03 02:09:09"
"209","Samarinda","29.35","71","1011","1.01","20","0.2","0","73","10000","light rain","rain","2024-11-03 03:09:16"
"210","Samarinda","28.4","76","1010","0.83","31","0.29","0","79","10000","light rain","rain","2024-11-03 04:09:11"
"211","Samarinda","28.69","76","1009","0.28","349","0.8","0","83","10000","light rain","rain","2024-11-03 05:09:10"
"212","Samarinda","31.37","68","1008","0.55","329","1.1","0","78","10000","moderate rain","rain","2024-11-03 06:09:10"
"213","Samarinda","29.56","79","1007","0.83","250","1.35","0","83","9937","moderate rain","rain","2024-11-03 07:09:10"
"214","Samarinda","27.32","90","1007","1.11","214","1.79","0","92","6591","moderate rain","rain","2024-11-03 08:09:09"
"215","Samarinda","26.2","92","1008","1.18","184","0.99","0","94","10000","light rain","rain","2024-11-03 09:09:11"
"216","Samarinda","24.99","95","1008","0.97","166","0.14","0","96","10000","light rain","rain","2024-11-03 10:09:10"
"217","Samarinda","24.55","96","1009","0.76","146","0","0","97","10000","overcast clouds","Clouds","2024-11-03 11:09:10"
"218","Samarinda","24.06","95","1010","0.68","121","0.25","0","93","10000","light rain","rain","2024-11-03 12:09:10"
"219","Samarinda","23.48","97","1011","0.61","162","0.79","0","100","10000","light rain","rain","2024-11-03 13:09:09"
"220","Samarinda","23.31","97","1011","0.61","186","0.54","0","99","10000","light rain","rain","2024-11-03 14:09:11"
"221","Samarinda","23.26","97","1011","0.3","186","0","0","98","10000","overcast clouds","Clouds","2024-11-03 15:09:09"
"222","Samarinda","23.16","97","1010","0.44","193","0","0","98","10000","overcast clouds","Clouds","2024-11-03 16:09:09"
"223","Samarinda","23.02","98","1010","0.59","185","0.14","0","98","10000","light rain","rain","2024-11-03 17:09:09"
"224","Samarinda","23.37","98","1009","0.85","212","0.2","0","100","10000","light rain","rain","2024-11-03 18:09:09"
"225","Samarinda","22.97","99","1009","0.75","239","2.15","0","100","8893","moderate rain","rain","2024-11-03 19:09:09"
"226","Samarinda","22.85","99","1009","0.69","272","1.94","0","100","10000","moderate rain","rain","2024-11-03 20:09:09"
"227","Samarinda","22.84","99","1010","0.62","258","1.44","0","100","10000","moderate rain","rain","2024-11-03 21:09:09"
"228","Samarinda","22.86","99","1010","0.71","240","0.85","0","100","10000","light rain","rain","2024-11-03 22:09:09"
"229","Samarinda","23.71","97","1011","0.79","263","0.67","0","100","10000","light rain","rain","2024-11-03 23:09:09"
"230","Samarinda","25.19","92","1012","1.23","253","0.22","0","99","10000","light rain","rain","2024-11-04 00:09:09"
"231","Samarinda","26.46","88","1012","1.53","252","1.35","0","95","10000","moderate rain","rain","2024-11-04 01:09:10"
"232","Samarinda","26.44","90","1012","1.3","317","0","0","94","6456","overcast clouds","Clouds","2024-11-04 02:09:09"
"233","Samarinda","27.41","87","1011","1.43","285","2.16","0","98","10000","moderate rain","rain","2024-11-04 03:09:10"
"234","Samarinda","27.73","85","1010","1.25","273","1.62","0","98","10000","moderate rain","rain","2024-11-04 04:09:09"
"235","Samarinda","28.54","80","1009","1.05","238","1.12","0","98","10000","moderate rain","rain","2024-11-04 05:09:09"
"236","Samarinda","28.35","81","1008","1.31","200","1.15","0","98","9765","moderate rain","rain","2024-11-04 06:09:10"
"237","Samarinda","27.04","90","1007","1.42","211","1.77","0","99","6989","moderate rain","rain","2024-11-04 07:09:10"
"238","Samarinda","26.39","92","1007","1.19","209","1.49","0","100","10000","moderate rain","rain","2024-11-04 08:09:09"
